"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","Z9073400"
1,2,9,1981,1,4,-4
2,1,7,1982,1,2,-4
3,2,9,1983,1,2,-4
4,2,2,1981,1,2,-4
5,1,10,1982,1,2,-4
6,2,1,1982,1,2,-4
7,1,4,1983,1,2,1
8,2,6,1981,1,4,-4
9,1,10,1982,1,4,-4
10,1,3,1984,1,4,-4
11,2,6,1982,1,2,-4
12,1,10,1981,1,2,-4
13,1,11,1984,1,2,-4
14,1,7,1980,1,2,-4
15,2,1,1983,1,2,-4
16,1,2,1982,1,2,-4
17,2,11,1981,1,2,-4
18,1,2,1982,1,1,-4
19,1,4,1984,1,1,-4
20,1,12,1980,1,1,-4
21,1,8,1982,1,2,-4
22,1,6,1982,1,2,1
23,2,1,1983,1,2,1
24,1,6,1984,1,2,-4
25,2,3,1983,1,2,-4
26,1,10,1980,1,1,-4
27,1,5,1981,1,1,-4
28,2,11,1983,1,1,-4
29,2,1,1983,1,4,-4
30,1,6,1981,1,4,-4
31,1,7,1982,1,4,-4
32,2,7,1981,1,4,1
33,2,12,1980,1,4,-4
34,2,12,1984,1,4,-4
35,1,1,1983,1,4,-4
36,2,8,1980,1,4,1
37,2,11,1980,1,4,1
38,2,9,1981,1,4,-4
39,1,2,1980,1,2,-4
40,2,5,1984,1,4,-4
41,2,1,1983,1,4,-4
42,1,8,1983,1,4,-4
43,2,10,1981,1,1,-4
44,1,12,1981,1,2,1
45,2,2,1984,1,1,-4
46,1,2,1984,1,1,-4
47,2,9,1982,1,1,-4
48,2,7,1983,1,1,-4
49,2,12,1982,1,1,-4
50,2,2,1983,1,1,-4
51,1,6,1980,1,1,2
52,1,12,1983,1,1,-4
53,2,4,1984,1,1,-4
54,2,12,1984,1,1,-4
55,2,2,1981,1,2,-4
56,2,2,1982,1,4,-4
57,1,12,1982,1,1,-4
58,1,11,1983,1,1,-4
59,2,4,1981,1,1,-4
60,1,1,1984,1,4,-4
61,2,5,1983,1,1,1
62,1,3,1980,1,1,-4
63,2,10,1984,1,1,1
64,1,3,1980,1,1,-4
65,1,4,1984,1,1,-4
66,1,10,1980,1,1,-4
67,1,11,1980,1,1,-4
68,1,1,1981,1,1,-4
69,2,7,1981,1,1,1
70,1,8,1982,1,1,-4
71,1,1,1980,1,1,-4
72,2,4,1982,1,1,-4
73,1,10,1984,1,1,-4
74,1,7,1983,1,4,-4
75,1,1,1982,1,4,-4
76,1,1,1982,1,4,-4
77,2,11,1984,1,2,-4
78,2,7,1981,1,4,-4
79,1,12,1983,1,2,-4
80,1,6,1981,1,1,-4
81,2,1,1984,1,1,-4
82,1,7,1984,1,2,-4
83,1,9,1981,1,2,-4
84,2,2,1984,1,2,1
85,1,2,1984,1,4,-4
86,2,10,1980,1,4,-4
87,1,5,1984,1,2,-4
88,1,1,1981,1,4,-4
89,1,11,1981,1,4,1
90,1,11,1981,1,2,-4
91,2,9,1982,1,2,-4
92,1,4,1983,1,4,-4
93,1,9,1983,1,2,-4
94,2,9,1980,1,1,-4
95,1,7,1982,1,2,-4
96,1,7,1982,1,4,-4
97,1,6,1980,1,2,1
98,1,1,1980,1,4,-4
99,1,6,1982,1,2,-4
100,2,1,1981,1,1,-4
101,2,7,1981,1,1,-4
102,2,4,1982,1,2,-4
103,2,11,1983,1,2,-4
104,2,11,1980,1,4,-4
105,1,8,1983,1,4,-4
106,1,11,1981,1,4,-4
107,2,8,1982,1,4,-4
108,1,9,1984,1,4,-4
109,2,3,1982,1,4,-4
110,2,2,1984,1,4,-4
111,2,1,1981,1,4,1
112,2,4,1984,1,4,-4
113,1,4,1984,1,4,-4
114,2,7,1982,1,4,-4
115,2,10,1984,1,2,-4
116,1,10,1984,1,1,-4
117,1,10,1984,1,1,-4
118,1,6,1980,1,4,-4
119,1,9,1982,1,4,-4
120,1,6,1982,1,4,-4
121,1,12,1981,1,4,-4
122,1,6,1984,1,4,-4
123,1,2,1980,1,4,-4
124,1,2,1982,1,4,-4
125,2,5,1984,1,4,-4
126,1,5,1981,1,4,-4
127,2,3,1982,1,4,-4
128,2,8,1982,1,4,-4
129,2,8,1980,1,4,1
130,2,7,1981,1,4,-4
131,1,10,1980,1,4,-4
132,1,2,1983,1,4,-4
133,1,7,1982,1,4,-4
134,1,4,1984,1,4,-4
135,1,4,1981,1,4,-4
136,2,9,1983,1,4,-4
137,2,5,1980,1,4,-4
138,1,4,1984,1,4,-4
139,2,7,1984,1,4,-4
140,1,12,1983,1,2,-4
141,2,1,1980,1,4,-4
142,2,1,1981,1,4,1
143,1,8,1981,1,1,-4
144,1,8,1982,1,1,-4
145,1,4,1984,1,1,-4
146,1,7,1984,1,1,-4
147,2,2,1984,1,4,-4
148,2,10,1982,1,1,-4
149,2,4,1983,1,1,-4
150,1,2,1984,1,1,-4
151,2,1,1982,1,1,-4
152,1,5,1982,1,1,-4
153,2,2,1980,1,1,-4
154,1,6,1980,1,4,-4
155,1,2,1980,1,4,-4
156,1,11,1982,1,4,-4
157,2,3,1982,1,2,-4
158,1,12,1984,1,2,-4
159,2,1,1980,1,2,1
160,2,1,1981,1,2,-4
161,1,1,1982,1,2,-4
162,2,8,1981,1,1,1
163,1,2,1983,1,1,-4
164,2,7,1981,1,4,1
