"","x"
"1","PSTRAN_WEIGHT_PSTR"
"2","PSTRAN_ANYDEGREE.01_PSTR"
"3","PSTRAN_ANYDEGREE.02_PSTR"
"4","PSTRAN_ANYDEGREE.03_PSTR"
"5","PSTRAN_ANYDEGREE.04_PSTR"
"6","PSTRAN_ANYDEGREE.05_PSTR"
"7","PSTRAN_ANYDEGREE.06_PSTR"
"8","PSTRAN_ANYDEGREE.07_PSTR"
"9","PSTRAN_NUM_DEGREE.01_PSTR"
"10","PSTRAN_NUM_DEGREE.02_PSTR"
"11","PSTRAN_NUM_DEGREE.03_PSTR"
"12","PSTRAN_NUM_DEGREE.04_PSTR"
"13","PSTRAN_NUM_DEGREE.05_PSTR"
"14","PSTRAN_NUM_DEGREE.06_PSTR"
"15","PSTRAN_NUM_DEGREE.07_PSTR"
"16","PSTRAN_CREDEARN.01_PSTR"
"17","PSTRAN_CREDEARN.02_PSTR"
"18","PSTRAN_CREDEARN.03_PSTR"
"19","PSTRAN_CREDEARN.04_PSTR"
"20","PSTRAN_CREDEARN.05_PSTR"
"21","PSTRAN_CREDEARN.06_PSTR"
"22","PSTRAN_CREDEARN.07_PSTR"
"23","PSTRAN_GPA.01_PSTR"
"24","PSTRAN_GPA.02_PSTR"
"25","PSTRAN_GPA.03_PSTR"
"26","PSTRAN_GPA.04_PSTR"
"27","PSTRAN_GPA.05_PSTR"
"28","PSTRAN_GPA.06_PSTR"
"29","PSTRAN_GPA.07_PSTR"
"30","PSTRAN_INSTLEVEL.01_PSTR"
"31","PSTRAN_INSTLEVEL.02_PSTR"
"32","PSTRAN_INSTLEVEL.03_PSTR"
"33","PSTRAN_INSTLEVEL.04_PSTR"
"34","PSTRAN_INSTLEVEL.05_PSTR"
"35","PSTRAN_INSTLEVEL.06_PSTR"
"36","PSTRAN_INSTLEVEL.07_PSTR"
"37","PSTRAN_INSTLEVEL.08_PSTR"
"38","MAR_IMPUTE_FIRST_COHAB_XRND"
"39","MAR_IMPUTE_FIRST_MARRY_XRND"
"40","PUBID_1997"
"41","YHEA-100_1997"
"42","YHEA-2000_1997"
"43","YHEA-2100_1997"
"44","YHEA-2200_1997"
"45","YSAQ-373_1997"
"46","YSAQ-374_1997"
"47","KEY_SEX_1997"
"48","KEY_BDATE_M_1997"
"49","KEY_BDATE_Y_1997"
"50","PC9-001_1997"
"51","CV_INCOME_GROSS_YR_1997"
"52","CV_HH_INCOME_SOURCE_1997"
"53","CV_YTH_REL_HH_AGE_12_1997"
